token,lemma,pos,case,number,gender,tense,confidence
Исследователи,исследователь,NOUN,nomn,plur,masc,,1.0
из,из,PREP,,,,,0.999673
Уральского,уральский,ADJF,gent,sing,masc,,0.5
федерального,федеральный,ADJF,gent,sing,neut,,0.641304
университета,университет,NOUN,gent,sing,masc,,1.0
представили,представить,VERB,,plur,,past,1.0
новую,новый,ADJF,accs,sing,femn,,1.0
модель,модель,NOUN,nomn,sing,femn,,0.81081
машинного,машинный,ADJF,gent,sing,neut,,0.5
обучения,обучение,NOUN,gent,sing,neut,,0.968253
Алгоритмы,алгоритм,NOUN,nomn,plur,masc,,0.636363
обрабатывали,обрабатывать,VERB,,plur,,past,1.0
большие,больший,ADJF,nomn,plur,,,0.4
текстовые,текстовый,ADJF,nomn,plur,,,0.25
корпуса,корпус,NOUN,gent,sing,masc,,0.840909
с,с,PREP,,,,,0.997628
высокой,высокий,ADJF,gent,sing,femn,,0.418918
скоростью,скорость,NOUN,ablt,sing,femn,,1.0
Лингвисты,лингвист,NOUN,nomn,plur,masc,,1.0
оценили,оценить,VERB,,plur,,past,1.0
точность,точность,NOUN,nomn,sing,femn,,0.833333
морфологической,морфологический,ADJF,gent,sing,femn,,0.5
разметки,разметка,NOUN,gent,sing,femn,,0.857142
и,и,CONJ,,,,,0.998263
предложили,предложить,VERB,,plur,,past,1.0
улучшения,улучшение,NOUN,gent,sing,neut,,0.842105
для,для,PREP,,,,,0.999844
анализа,анализ,NOUN,gent,sing,masc,,1.0
омонимии,омонимия,NOUN,gent,sing,femn,,0.2
